id,crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield_value
1,Arecanut,1997,Whole Year ,Assam,73814.0,56708.0,2051.4,7024880.0,22882.3,0.796087
2,Arhar/Tur,1997,Kharif     ,Assam,6637.0,4685.0,2051.4,631643.0,2057.47,0.710435
3,Castor seed,1997,Kharif     ,Assam,796.0,22.0,2051.4,75755.3,246.76,0.238333
5,Cotton(lint),1997,Kharif     ,Assam,1739.0,794.0,2051.4,165501.0,539.09,0.420909
6,Dry chillies,1997,Whole Year ,Assam,13587.0,9073.0,2051.4,1293070.0,4211.97,0.643636
7,Gram,1997,Rabi       ,Assam,2979.0,1507.0,2051.4,283511.0,923.49,0.465455
9,Linseed,1997,Rabi       ,Assam,10098.0,5158.0,2051.4,961027.0,3130.38,0.461364
10,Maize,1997,Kharif     ,Assam,19216.0,14721.0,2051.4,1828790.0,5956.96,0.615652
11,Mesta,1997,Kharif     ,Assam,5915.0,29003.0,2051.4,562931.0,1833.65,4.56895
12,Niger seed,1997,Whole Year ,Assam,9914.0,5076.0,2051.4,943515.0,3073.34,0.482353
13,Onion,1997,Whole Year ,Assam,7832.0,17943.0,2051.4,745371.0,2427.92,2.34261
14,Other  Rabi pulses,1997,Rabi       ,Assam,108297.0,58272.0,2051.4,10306600.0,33572.1,0.52087
16,Rapeseed &Mustard,1997,Rabi       ,Assam,279292.0,154772.0,2051.4,26580200.0,86580.5,0.554783
17,Rice,1997,Autumn     ,Assam,607358.0,398311.0,2051.4,57802300.0,188281.0,0.78087
18,Rice,1997,Summer     ,Assam,174974.0,209623.0,2051.4,16652300.0,54241.9,1.06043
19,Rice,1997,Winter     ,Assam,1743320.0,1647300.0,2051.4,165912000.0,540430.0,0.941304
20,Sesamum,1997,Whole Year ,Assam,15765.0,8257.0,2051.4,1500360.0,4887.15,0.487391
21,Small millets,1997,Kharif     ,Assam,10490.0,5391.0,2051.4,998333.0,3251.9,0.473
23,Sweet potato,1997,Whole Year ,Assam,9380.0,32618.0,2051.4,892695.0,2907.8,3.44043
24,Tapioca,1997,Whole Year ,Assam,2465.0,11728.0,2051.4,234594.0,764.15,4.41826
25,Tobacco,1997,Whole Year ,Assam,433.0,26.0,2051.4,41208.6,134.23,0.38
26,Turmeric,1997,Whole Year ,Assam,10071.0,6974.0,2051.4,958457.0,3122.01,0.67
27,Wheat,1997,Rabi       ,Assam,84698.0,110054.0,2051.4,8060710.0,26256.4,1.25952
28,Arecanut,1997,Whole Year ,Karnataka,93100.0,133342.0,1266.7,8860330.0,28861.0,1.29357
29,Arhar/Tur,1997,Kharif     ,Karnataka,421810.0,98473.0,1266.7,40143700.0,130761.0,0.268235
30,Bajra,1997,Kharif     ,Karnataka,301149.0,132056.0,1266.7,28660400.0,93356.2,0.404545
31,Bajra,1997,Summer     ,Karnataka,820.0,662.0,1266.7,78039.4,254.2,0.81
32,Black pepper,1997,Kharif     ,Karnataka,3825.0,924.0,1266.7,364025.0,1185.75,0.4375
33,Cardamom,1997,Whole Year ,Karnataka,21230.0,1214.0,1266.7,2020460.0,6581.3,0.0585714
34,Coriander,1997,Whole Year ,Karnataka,17317.0,2853.0,1266.7,1648060.0,5368.27,0.121333
35,Dry chillies,1997,Kharif     ,Karnataka,186579.0,139206.0,1266.7,17756700.0,57839.5,1.07833
36,Dry chillies,1997,Rabi       ,Karnataka,4565.0,7895.0,1266.7,434451.0,1415.15,1.86944
37,Garlic,1997,Whole Year ,Karnataka,5061.0,3799.0,1266.7,481655.0,1568.91,1.585
38,Ginger,1997,Kharif     ,Karnataka,3619.0,4745.0,1266.7,344420.0,1121.89,1.26231
39,Groundnut,1997,Kharif     ,Karnataka,847666.0,525562.0,1266.7,80672400.0,262776.0,0.709412
40,Groundnut,1997,Rabi       ,Karnataka,192416.0,181071.0,1266.7,18312200.0,59649.0,1.13333
41,Horse-gram,1997,Kharif     ,Karnataka,178872.0,80124.0,1266.7,17023200.0,55450.3,0.45
42,Horse-gram,1997,Rabi       ,Karnataka,163173.0,82572.0,1266.7,15529200.0,50583.6,0.514706
43,Jowar,1997,Kharif     ,Karnataka,389690.0,516093.0,1266.7,37086800.0,120804.0,1.228
44,Jowar,1997,Rabi       ,Karnataka,1501170.0,722773.0,1266.7,142867000.0,465363.0,0.510714
45,Jowar,1997,Summer     ,Karnataka,6137.0,15135.0,1266.7,584058.0,1902.47,2.47091
46,Maize,1997,Kharif     ,Karnataka,502797.0,1391130.0,1266.7,47851200.0,155867.0,2.68778
47,Maize,1997,Rabi       ,Karnataka,48844.0,98932.0,1266.7,4648480.0,15141.6,1.98
48,Maize,1997,Summer     ,Karnataka,9730.0,20893.0,1266.7,926004.0,3016.3,2.16571
49,Ragi,1997,Kharif     ,Karnataka,897921.0,1214280.0,1266.7,85455100.0,278356.0,1.19133
50,Ragi,1997,Rabi       ,Karnataka,27104.0,33696.0,1266.7,2579490.0,8402.24,1.31222
51,Ragi,1997,Summer     ,Karnataka,13521.0,25035.0,1266.7,1286790.0,4191.51,1.84778
52,Rice,1997,Kharif     ,Karnataka,1031530.0,2340490.0,1266.7,98170700.0,319774.0,2.2335
53,Rice,1997,Rabi       ,Karnataka,53889.0,109350.0,1266.7,5128620.0,16705.6,2.07385
54,Rice,1997,Summer     ,Karnataka,268044.0,762759.0,1266.7,25509700.0,83093.6,2.82944
56,Turmeric,1997,Whole Year ,Karnataka,4342.0,24108.0,1266.7,413228.0,1346.02,4.45294
57,Wheat,1997,Rabi       ,Karnataka,250698.0,118512.0,1266.7,23858900.0,77716.4,0.548333
58,Arecanut,1997,Whole Year ,Kerala,76145.0,93995.0,3252.4,7246720.0,23604.9,1.14786
59,Black pepper,1997,Whole Year ,Kerala,173855.0,55520.0,3252.4,16545800.0,53895.1,0.240714
60,Cashewnut,1997,Whole Year ,Kerala,96073.0,74142.0,3252.4,9143270.0,29782.6,0.589286
63,Arecanut,1997,Whole Year ,Meghalaya,9569.0,12116.0,3818.2,910682.0,2966.39,1.24571
64,Arhar/Tur,1997,Kharif     ,Meghalaya,865.0,683.0,3818.2,82322.0,268.15,0.806667
66,Castor seed,1997,Rabi       ,Meghalaya,30.0,15.0,3818.2,2855.1,9.3,0.49
67,Cotton(lint),1997,Kharif     ,Meghalaya,7544.0,5590.0,3818.2,717962.0,2338.64,0.796667
68,Dry chillies,1997,Whole Year ,Meghalaya,1766.0,1106.0,3818.2,168070.0,547.46,0.64
70,Gram,1997,Rabi       ,Meghalaya,443.0,270.0,3818.2,42160.3,137.33,0.613333
72,Linseed,1997,Kharif     ,Meghalaya,50.0,22.0,3818.2,4758.5,15.5,0.44
73,Maize,1997,Kharif     ,Meghalaya,17175.0,24878.0,3818.2,1634540.0,5324.25,1.44429
74,Mesta,1997,Kharif     ,Meghalaya,4688.0,21558.0,3818.2,446157.0,1453.28,4.68
75,Mesta,1997,Whole Year ,Meghalaya,861.0,713.0,3818.2,81941.4,266.91,0.7525
76,Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909.0,1511.0,3818.2,181680.0,591.79,0.777143
